Order,Latitude,Longitude,Elevation
1,42.22742,-121.77739,1250.7
2,42.22763,-121.77699,1250.8
3,42.22767,-121.77677,1250.8
4,42.22768,-121.77566,1251.6
5,42.22767,-121.77421,1252.4
6,42.22776,-121.77385,1252.7
7,42.22776,-121.77385,1252.7
8,42.22834,-121.77412,1253.2
9,42.22834,-121.77412,1253.2
10,42.22832,-121.77347,1253.5
11,42.22832,-121.77331,1253.5
12,42.22832,-121.77322,1253.5
13,42.22832,-121.77301,1253.5
14,42.22832,-121.773014,1253.5
15,42.22832,-121.77298,1253.6
16,42.22833,-121.77274,1253.8
17,42.22833,-121.7726,1253.8
18,42.22834,-121.77233,1254.1
19,42.22837,-121.77206,1254.4
20,42.22836,-121.77137,1254.6
21,42.22835,-121.7706,1255.1
22,42.22837,-121.7696,1255.7
23,42.22838,-121.76887,1256.4
24,42.22838,-121.76815,1257.7
25,42.22839,-121.76742,1259.2
26,42.22839,-121.76697,1260.0
27,42.22839,-121.76679,1260.4
28,42.22836,-121.76609,1261.6
29,42.22838,-121.76538,1263.1
30,42.22838,-121.76514,1264.4
31,42.22838,-121.7648,1266.7
32,42.22838,-121.7648,1266.7
33,42.22882,-121.76479,1267.5
34,42.22936,-121.76478,1268.2
35,42.22971,-121.76497,1268.7
36,42.22971,-121.76497,1268.7
37,42.2303,-121.76477,1273.4
38,42.23112,-121.76444,1273.6
39,42.23125,-121.76434,1273.7
40,42.23141,-121.7642,1274.1
41,42.23172,-121.76378,1276.1
42,42.2318,-121.76366,1276.8
43,42.231798,-121.763663,1276.8
44,42.23194,-121.76345,1277.9
45,42.23221,-121.76308,1279.0
46,42.2324,-121.76281,1279.6
47,42.23262,-121.76251,1280.3
48,42.23279,-121.7623,1280.6
49,42.23292,-121.76204,1281.0
50,42.23298,-121.7619,1281.4
51,42.23302,-121.7618,1282.2
52,42.23312,-121.76145,1284.3
53,42.23313,-121.76141,1284.5
54,42.23321,-121.76112,1285.9
55,42.23328,-121.76092,1286.6
56,42.23337,-121.76075,1286.9
57,42.23347,-121.76061,1287.7
58,42.23352,-121.76055,1288.2
59,42.23363,-121.76041,1290.0
60,42.23377,-121.76027,1290.9
61,42.23393,-121.76009,1290.8
62,42.2342,-121.75985,1291.2
63,42.23441,-121.75966,1291.0
64,42.23447,-121.75958,1291.1
65,42.2345,-121.75954,1291.2
66,42.23462,-121.75936,1292.2
67,42.23471,-121.75917,1292.8
68,42.23489,-121.75884,1293.4
69,42.23506,-121.7585,1296.2
70,42.23518,-121.75829,1297.6
71,42.23529,-121.75814,1298.0
72,42.23537,-121.75806,1298.3
73,42.23553,-121.75794,1298.8
74,42.23565,-121.75787,1299.0
75,42.23587,-121.75779,1299.4
76,42.23613,-121.7577,1300.7
77,42.23638,-121.75759,1303.0
78,42.23647,-121.75755,1304.2
79,42.23662,-121.75748,1305.8
80,42.23676,-121.7574,1307.2
81,42.23697,-121.75723,1309.3
82,42.23709,-121.75712,1310.7
83,42.23729,-121.75691,1313.5
84,42.23765,-121.75647,1318.9
85,42.23804,-121.756,1324.2
86,42.23805,-121.75598,1324.3
87,42.23819,-121.75582,1324.1
88,42.23832,-121.75566,1323.3
89,42.2384,-121.75557,1322.7
90,42.23846,-121.75551,1322.3
91,42.23866,-121.75531,1321.2
92,42.23919,-121.7548,1317.3
93,42.23926,-121.75474,1317.3
94,42.23978,-121.75424,1314.0
95,42.24008,-121.75396,1313.8
96,42.24062,-121.75346,1317.5
97,42.24067,-121.75341,1317.6
98,42.24101,-121.75312,1318.7
99,42.24124,-121.753,1318.8
100,42.24159,-121.75283,1318.9
101,42.24184,-121.75272,1318.8
102,42.24253,-121.75247,1320.5
103,42.24295,-121.75221,1321.6
104,42.24338,-121.75175,1321.5
105,42.24366,-121.7512,1322.0
106,42.24378,-121.75086,1322.9
107,42.2438,-121.75069,1321.9
108,42.24389,-121.74997,1322.4
109,42.2439,-121.74986,1322.4
110,42.244,-121.74928,1323.2
111,42.24416,-121.74889,1324.2
112,42.24432,-121.74866,1324.9
113,42.2444,-121.74856,1325.5
114,42.24454,-121.74844,1326.8
115,42.24478,-121.74831,1327.7
116,42.24531,-121.74801,1329.3
117,42.24544,-121.74794,1329.8
118,42.24561,-121.74785,1330.4
119,42.24576,-121.74772,1332.3
120,42.24582,-121.74768,1333.2
121,42.24592,-121.74756,1334.7
122,42.246,-121.74747,1335.2
123,42.2462,-121.74714,1338.3
124,42.24662,-121.74643,1345.1
125,42.2467,-121.74629,1346.8
126,42.24696,-121.74596,1350.7
127,42.24725,-121.74571,1353.1
128,42.24763,-121.74545,1356.4
129,42.24778,-121.74535,1358.6
130,42.24794,-121.74522,1360.8
